"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"42332",1,0,1,12,12,9,1967,48,560,26,9660,2547,0,1,80232.7421875,5,2,NA,NA,NA,NA,NA,NA,0,3,42,0,0,1,0
"42349",0,0,1,12,5,NA,1947,NA,624,47,12878.3896484375,976,0,1,80973.34375,29,2,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"42365",0,0,1,12,8,9,1934,NA,1736,59,158984.28125,12269,0,1,383123.65625,32,2,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"42367",1,0,1,17,7,11,1962,24,3006,31,72448.390625,5303,2,1,93431.5234375,6,3,11,14,0,27991.4609375,0,0,0,2,15,0,1,1,0
"42380",0,0,0,12,8,10,1943,NA,2016,50,51518.390625,12069,0,NA,142897.15625,12,2,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"42395",0,0,1,12,5,11,1959,20,NA,35,0,5503,2,NA,125658.890625,NA,NA,12,NA,NA,80498.390625,0,NA,0,3,10,0,0,NA,0
"42416",0,0,1,17,12,10,1959,36,2350,34,88546.78125,2594,0,1,180076.890625,8,1,14,NA,NA,0,0,NA,0,4,36,0,1,NA,1
"42426",0,0,1,14,8,11,1957,43,468,36,6438.39013671875,4440,2,NA,25041.939453125,8,2,NA,NA,NA,NA,NA,NA,0,4,5,0,0,NA,1
"42438",1,0,1,12,11,7,1955,4,0,38,0,5087,0,0,1925.56005859375,11,4,14,NA,NA,29783.390625,0,NA,0,4,4,0,0,1,0
"42446",1,0,1,16,11,11,1963,31,2080,30,48298.390625,6234,0,0,48338.640625,6,1,14,16,0,12878.3896484375,0,0,0,1,31,0,1,1,0
"42454",1,0,1,16,9,10,1947,NA,1000,46,0,2771,0,1,131892.8125,19,2,12,NA,NA,0,0,NA,0,1,37,0,1,1,0
"42471",1,0,1,12,1,11,1966,9,2223,28,28980,4444,0,1,69197.796875,1,2,15,NA,NA,6694.3798828125,0,NA,0,3,9,0,1,1,0
"42476",0,0,1,15,9,8,1963,29,0,30,0,5403,2,1,69228.390625,6,2,12,NA,NA,NA,0,NA,0,1,29,0,0,NA,1
"42493",0,0,1,14,10,10,1954,37,2984,39,61178.390625,6767,2,1,109170.8828125,8,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"42495",1,0,1,14,8,11,1954,20,1763,39,67618.390625,5617,2,1,82063.3125,7,1,11,12,0,0,0,0,0,1,20,0,1,1,0
"42560",1,0,1,14,11,10,1960,41,2205,33,40250,4790,1,1,82106.78125,5,2,12,NA,NA,27991.4609375,0,NA,0,3,41,0,1,1,0
"42574",0,0,1,12,10,9,1962,24,2150,31,24148.390625,6308,2,0,27999.509765625,12,2,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"42578",1,0,1,16,3,12,1954,20,1880,40,101871.140625,4316,0,1,162983.515625,13,1,16,17,201246.78125,2415,0,0,0,1,20,0,1,1,0
"42589",1,0,1,17,2,12,1953,45,2500,41,563491.9375,6182,0,1,603740.3125,21,3,9,8,0,13590.009765625,0,0,0,3,45,0,1,1,0
"42590",1,0,1,13,2,8,1953,31,2430,41,57958.390625,5808,0,0,71226.3984375,23,3,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"42608",1,0,1,12,2,11,1939,NA,630,55,14488.3896484375,5913,1,1,47021.66015625,28,3,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"42614",1,0,1,10,1,9,1948,NA,2020,46,45883.390625,6853,0,1,85692.25,18,3,8,12,0,0,0,0,0,1,37,0,1,1,0
"42617",1,0,1,12,11,10,1949,NA,3740,44,109478.390625,12361,0,0,109478.390625,25,1,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
